,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,price_per_product,profit_per_product,loss,discount
7,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,CA,151.192,15.1192,0.0,Discount
11,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,CA,227.856,17.0892,0.0,Discount
19,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,CA,71.16,5.337,0.0,Discount
26,Second Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,CA,30.189999999999998,3.9247,0.0,No Discount
35,First Class,Corporate,United States,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,TX,156.792,17.6391,0.0,Discount
40,Standard Class,Home Office,United States,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,TX,92.792,10.4391,0.0,Discount
41,Standard Class,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,IL,36.792,4.1391,0.0,Discount
44,First Class,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.7714,MN,22.99,9.8857,0.0,No Discount
47,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,DE,15.0,1.6500000000000001,0.0,No Discount
48,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.104,DE,10.9,3.052,0.0,No Discount
54,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.6855,NY,205.99,59.7371,0.0,No Discount
59,First Class,Consumer,United States,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,NY,15.0,1.65,0.0,No Discount
62,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512,CA,6.99,3.0756,0.0,No Discount
68,Standard Class,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,AZ,41.992,15.747,0.0,Discount
86,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.7966,MN,19.99,6.7966,0.0,No Discount
90,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,CA,36.792,4.1391,0.0,Discount
100,Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,IL,31.992,-3.5991,-10.7973,Discount
103,Standard Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,CO,39.815999999999995,-4.4793,-26.8758,Discount
106,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,NC,9.264,2.2002,0.0,Discount
